%time(s),x1,x2,x3,x4,x5,u1,u2,y1,y2,y3,y4
9.5000014e-02,7.4856033e+01,3.1337231e+02,1.2338602e+01,2.0611876e-01,9.5037566e-03,1.2000000e+01,0.0000000e+00,1.2534893e+02,6.4412112e+00,1.0000000e+01,6.0962510e-01
9.6000016e-02,7.4738213e+01,3.1733517e+02,1.2651975e+01,2.0832926e-01,9.7098751e-03,1.2000000e+01,0.0000000e+00,1.2693407e+02,6.5102892e+00,1.0000000e+01,6.0962510e-01
9.7000018e-02,7.4618347e+01,3.2129114e+02,1.2969310e+01,2.1053976e-01,9.9182045e-03,1.2000000e+01,0.0000000e+00,1.2851646e+02,6.5793672e+00,1.0000000e+01,6.0962510e-01
9.8000020e-02,7.4496544e+01,3.2524005e+02,1.3290601e+01,2.1275026e-01,1.0128744e-02,1.2000000e+01,0.0000000e+00,1.3009602e+02,6.6484451e+00,1.0000000e+01,6.0962510e-01
9.9000022e-02,7.4372917e+01,3.2918182e+02,1.3615841e+01,2.1496075e-01,1.0341494e-02,1.2000000e+01,0.0000000e+00,1.3167273e+02,6.7175231e+00,1.0000000e+01,6.0962510e-01
1.0000002e-01,7.4247559e+01,3.3311633e+02,1.3945023e+01,2.1717125e-01,1.0556455e-02,1.2000000e+01,0.0000000e+00,1.3324654e+02,6.7866011e+00,1.0000000e+01,6.0962510e-01
1.0100003e-01,7.4120560e+01,3.3704349e+02,1.4278139e+01,2.1938175e-01,1.0773626e-02,1.2000000e+01,0.0000000e+00,1.3481740e+02,6.8556795e+00,1.0000000e+01,6.0962510e-01
1.0200003e-01,7.3992020e+01,3.4096320e+02,1.4615183e+01,2.2159225e-01,1.0993008e-02,1.2000000e+01,0.0000000e+00,1.3638528e+02,6.9247575e+00,1.0000000e+01,6.0962510e-01
1.0300003e-01,7.3862015e+01,3.4487537e+02,1.4956146e+01,2.2380275e-01,1.1214600e-02,1.2000000e+01,0.0000000e+00,1.3795015e+02,6.9938354e+00,1.0000000e+01,6.0962510e-01
1.0400003e-01,7.3730637e+01,3.4877994e+02,1.5301022e+01,2.2601324e-01,1.1438402e-02,1.2000000e+01,0.0000000e+00,1.3951198e+02,7.0629134e+00,1.0000000e+01,6.0962510e-01
1.0500003e-01,7.3597961e+01,3.5267682e+02,1.5649801e+01,2.2822374e-01,1.1664416e-02,1.2000000e+01,0.0000000e+00,1.4107072e+02,7.1319914e+00,1.0000000e+01,6.0962510e-01
1.0600004e-01,7.3464066e+01,3.5656592e+02,1.6002478e+01,2.3043424e-01,1.1892639e-02,1.2000000e+01,0.0000000e+00,1.4262637e+02,7.2010698e+00,1.0000000e+01,6.0962510e-01
1.0700004e-01,7.3329025e+01,3.6044717e+02,1.6359043e+01,2.3264474e-01,1.2123073e-02,1.2000000e+01,0.0000000e+00,1.4417888e+02,7.2701478e+00,1.0000000e+01,6.0962510e-01
1.0800004e-01,7.3192902e+01,3.6432053e+02,1.6719490e+01,2.3485523e-01,1.2355718e-02,1.2000000e+01,0.0000000e+00,1.4572821e+02,7.3392258e+00,1.0000000e+01,6.0962510e-01
1.0900004e-01,7.3055771e+01,3.6818591e+02,1.7083811e+01,2.3706573e-01,1.2590573e-02,1.2000000e+01,0.0000000e+00,1.4727437e+02,7.4083037e+00,1.0000000e+01,6.0962510e-01
1.1000004e-01,7.2917686e+01,3.7204327e+02,1.7451996e+01,2.3927623e-01,1.2827639e-02,1.2000000e+01,0.0000000e+00,1.4881731e+02,7.4773817e+00,1.0000000e+01,6.0962510e-01
1.1100005e-01,7.2778709e+01,3.7589255e+02,1.7824039e+01,2.4148673e-01,1.3066915e-02,1.2000000e+01,0.0000000e+00,1.5035703e+02,7.5464597e+00,1.0000000e+01,6.0962510e-01
1.1200005e-01,7.2638901e+01,3.7973370e+02,1.8199932e+01,2.4369723e-01,1.3308401e-02,1.2000000e+01,0.0000000e+00,1.5189348e+02,7.6155381e+00,1.0000000e+01,6.0962510e-01
1.1300005e-01,7.2498314e+01,3.8356668e+02,1.8579666e+01,2.4590772e-01,1.3552099e-02,1.2000000e+01,0.0000000e+00,1.5342668e+02,7.6846161e+00,1.0000000e+01,6.0962510e-01
